cumulative energy, local energy at each 100step
18.5893,17.917
18.5908,21.2206
18.6012,15.8158
18.581,16.5044
18.5639,18.0372
18.5569,15.7132
18.5491,17.8032
18.5441,18.2012
18.5562,21.1967
18.5593,16.1771
18.5578,21.1171
18.557,16.702
18.5601,14.5054
18.54,14.7435
18.5396,19.8816
18.5262,15.0302
18.5247,16.0494
18.5177,16.27
18.519,20.1426
18.5136,11.382
18.5163,18.8833
18.5129,17.2145
18.5049,16.3007
18.5093,20.1946
18.5145,22.9028
18.5115,14.6202
18.5112,19.7283
18.5141,17.623
18.5077,17.9591
18.5001,14.2123
18.4937,19.256
18.4916,18.6247
18.4946,18.2295
18.4933,17.1169
18.4936,12.4458
18.4901,20.7442
18.4932,16.2046
18.4888,16.5114
18.4787,17.0517
18.4786,19.9473
18.4729,17.026
18.4535,15.9828
18.4521,18.2127
18.4583,18.659
18.4726,20.5122
18.474,19.4997
18.4801,19.9452
18.4894,19.3848
18.4928,15.9305
18.5003,19.0764
18.4979,20.9889
18.5064,18.016
18.5055,16.5083
18.5074,19.4631
18.5031,16.1661
18.5058,17.1237
18.5127,17.0726
18.5133,12.8518
18.5109,22.7564
18.5135,13.1807
18.5186,21.2246
18.5189,18.7763
18.5241,13.0472
18.525,18.1638
18.5209,21.9827
18.5293,16.0347
18.5185,14.6001
18.5196,21.6452
18.516,18.0342
18.5143,12.9701
18.5144,16.3843
18.5139,18.5833
18.5151,20.6201
18.5133,14.413
18.5125,19.4197
18.5146,19.7434
18.5255,23.2534
18.5323,21.8017
18.5388,18.1605
18.5405,20.5955
18.5435,12.3214
18.5477,23.7354
18.555,21.203
18.5582,17.2012
18.5472,20.0995
18.5492,18.1149
18.5449,18.8803
18.541,18.4427
18.5389,16.2492
18.5311,14.0939
18.5277,15.0723
18.5316,20.3629
18.5337,18.3458
18.5316,12.3075
18.5291,16.6748
18.5234,20.4628
18.5228,19.5694
18.5201,20.4603
18.516,13.4761
18.5157,21.1478
18.5216,20.1258
18.5253,15.7781
18.5246,20.6424
18.5277,12.6584
18.5272,19.5475
18.5284,15.7922
18.5206,17.4942
18.5126,20.7648
18.5177,20.9175
18.5231,15.7458
18.5192,12.2973
18.5115,19.705
18.5113,15.6956
18.5188,20.7745
18.5176,18.1332
18.5223,19.1892
18.5142,16.9818
18.5178,18.9546
18.5186,16.0338
18.5186,21.6212
18.5233,17.7475
18.5278,18.1387
18.5284,13.6873
18.5218,13.0674
18.52,22.7611
18.5364,23.3203
18.5443,22.1321
18.5553,21.2374
18.5557,18.8002
18.5585,20.9963
18.5603,19.8062
18.5648,22.7426
18.5683,13.6936
18.5656,21.1982
18.5732,24.1829
18.5736,21.6939
18.5688,18.2333
18.5675,18.8866
18.5651,18.254
18.5745,21.0708
18.5757,14.6829
18.5757,22.1707
18.5764,19.1044
18.5786,17.0241
18.5719,14.1475
18.573,15.7373
18.5716,20.4368
18.5655,10.6819
18.5613,14.375
18.569,22.7117
18.5725,21.2233
18.5764,16.6149
18.5817,17.8989
18.5834,16.8239
18.5852,19.8778
18.5911,21.3274
18.5881,19.3867
18.5917,15.7777
18.5969,17.2989
18.5976,17.6008
18.5948,16.0467
18.5903,17.3233
18.5916,20.463
18.5955,18.7525
18.5954,14.5094
18.5922,18.3042
18.5926,17.346
18.5936,23.1581
18.6041,20.6291
18.6008,19.1813
18.603,21.4152
18.6073,20.116
18.6098,23.2316
18.6118,14.0452
18.6117,21.8738
18.6172,19.4506
18.6249,20.4172
18.6325,19.0212
18.6308,20.2769
18.6351,20.9935
18.634,20.0393
18.6402,21.6535
18.6432,18.6035
18.6369,17.0513
18.6297,19.3643
18.6279,19.7075
18.6315,21.8134
18.6309,16.4657
18.6321,19.7376
18.6326,16.6964
18.6332,17.7825
18.6314,22.1312
18.6352,17.0122
18.63,11.5779
18.6175,18.097
18.6142,16.3534
18.6151,20.7584
18.6152,17.3838
18.6128,23.2438
18.6099,15.6759
18.609,15.4634
18.6065,20.8567
18.6101,19.4812
18.6077,18.9355
18.6089,20.4681
18.6125,19.5636
18.6148,23.3612
18.6173,20.447
18.6215,20.8982
18.6227,16.0371
18.6211,20.1586
18.6104,10.7603
18.6092,15.9974
18.6108,19.8859
18.6126,17.2554
18.6098,18.0964
18.6111,20.9234
18.6082,11.4426
18.6036,19.4632
18.6076,20.2559
18.6078,11.4795
18.6091,15.3741
18.609,20.9625
18.6102,19.425
18.6149,14.3765
18.6167,18.8381
18.6167,19.1881
18.6155,14.1797
18.6124,19.2227
18.6112,15.2405
